Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Labour Force Status of Albertans with and without Disabilities,"This Alberta Official Statistic shows labour force participation by working age Albertans with and without disabilities for the reference period 2006-10-30 to 2007-02-28.  Labour force participation is broken out into “employment”, “not in labour...","Thursday, August 28, 2014 - 12:30",,Human Services,"Disabilities, official statistic",Dataset Management System: Published,,Human Services,,Alberta,English,EmploymentHealth and SafetySociety and Culture,Other,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=869,"Adapted from Statistics Canada, Participation and Activity Limitation Survey 2006: Cat. No. 89-628-X - No. 008. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=869,CSV
"Language Used Most Often at Work, Alberta, Calgary and Edmonton Census Metropolitan Areas (CMAs)",This Alberta Official Statistic describes the language used most often at work for Alberta and the Calgary and Edmonton CMAs based on the 2011 National Household Survey (NHS). Percentages are calculated for the population aged 15 years and over who...,"Thursday, August 28, 2014 - 12:57",,Office of Statistics and Information,"Work Language, official statistic",Dataset Management System: Published,,Municipal AffairsOffice of Statistics and Information,,Alberta;Census Metropolitan Area (CMA),English,EmploymentLanguages,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=914,"Adapted from Statistics Canada, 2011 National Household Survey Education and Labour data released June 26, 2013. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=914,CSV
Open Data Portal Dataset Listing,This is a listing of all the datasets available on the Open Data Portal,"Wednesday, August 27, 2014 - 09:20",,Service Alberta,"dataset, all, listing, open data,",Dataset Management System: Published,,Service Alberta,,,English,Information and Communications,Monthly,,,"This xlsx document contains the title, description and publishing ministry of all datasets that are currently available on the Open Data Portal",Open Government Program,data@gov.ab.ca,,Download,Dataset List,//sites/default/files/datasets/Dataset%20Listing_4.xlsx,XLSX
"Life Expectancy at Birth by Sex, Alberta and Alberta Health Services Continuum Zones","This Alberta Official Statistic compares the life expectancy of Alberta and Alberta Health Services Continuum Zones (South, Calgary, Central, Edmonton, North) by sex for 2013. Life expectancy is the number of years a person would be expected to live...","Thursday, August 28, 2014 - 12:58",,Health,"Life Expectancy, official statistic",Dataset Management System: Published,,Health,,Alberta;Health Continuum Zones,English,Health and SafetyPopulation,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=872,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=872,CSV
"Major Crop Production, Alberta"," Crop production statistics are designed to provide accurate and timely estimates of production of major grains and oilseeds in Alberta, including wheat, barley, oats, rye, canola and flaxseed. 

The data are used by Agriculture and Agri-food...","Thursday, August 28, 2014 - 12:59",,Agriculture and Rural Development,"Crop Production, official statistic",Dataset Management System: Published,,Agriculture and Rural Development,,Alberta,English,Agriculture,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=847,"Adapted from Statistics Canada, CANSIM Table 001-0010. This does not constitute an endorsement by Statistics Canada for this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=847,CSV
"Marital Status, Alberta Economic Regions",Alberta is divided into eight economic regions as follows: Lethbridge – Medicine -Hat; Camrose-Drumheller; Calgary; Banff – Jasper – Rocky Mountain House; Red Deer; Edmonton; Athabasca – Grande Prairie – Peace River; and Wood Buffalo – Cold Lake....,"Thursday, August 28, 2014 - 13:00",,Office of Statistics and Information,"Marital Status, official statistic",Dataset Management System: Published,,Office of Statistics and Information,,Economic Regions (ER),English,PopulationSociety and Culture,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=909,"Adapted from Statistics Canada, 2006 Census of Population. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=909,CSV
"Mobility Status (Place of Residence Five Years Ago - Movers) of Aboriginal Identity Population by Sex, Alberta and its Census Metropolitan Areas (CMA)","This Alberta Official Statistic describes the proportions of Aboriginal Identity Populations (Movers) that reported a mobility status change (place of residence 5 years ago) for Alberta and its Census Metropolitan Areas. 

Mobility status refers...","Thursday, August 28, 2014 - 13:03",,Aboriginal Relations,"Mobility Status, official statistic",Dataset Management System: Published,,Aboriginal RelationsOffice of Statistics and Information,,Alberta;Selected Cities;Census Metropolitan Area (CMA),English,PopulationSociety and Culture,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=908,"Adapted from Statistics Canada, 2011 National Household Survey – Aboriginal Population Profile. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=908,CSV
Full Load Equivalent (FLE) Enrolment by Institution and Sector within the Alberta Post-Secondary Education System,Enrolments are represented in full load equivalent (FLE). FLE is a unit of measure of enrolment in which one FLE represents one student taking a course load that is considered to be the “full load” for the program during the Fall and Winter sessions...,"Thursday, August 28, 2014 - 12:25",,Innovation and Advanced Education,"Enrolment, Post-Secondary, FLE, Official Statistic",Dataset Management System: Published,,Innovation and Advanced Education,,Alberta,English,Education and Training,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=1186,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1186,CSV
GeoDiscover Alberta Geospatial Data,"This catalogue listing from the GeoDiscover Alberta Portal represents datasets from Alberta Geological Survey, and the Ministries of Energy, Culture, Tourism, Parks & Recreation and Agriculture and Rural Development. These datasets are available...","Thursday, August 28, 2014 - 07:56",,Environment and Sustainable Resource Development,"geospatial, GDA, geodiscover, shapefile, webservice, surficial, geology, resources, sedimentary, basin, polygon, isopach, lithofacies, bathymetry, boundary, GIS, paleogeography",Dataset Management System: Published,,Agriculture and Rural DevelopmentEnergyEnvironment and Sustainable Resource Development,,,English,AgricultureEnvironment and Natural ResourcesTourism,Once,GeoDiscover Alberta,https://geodiscover.alberta.ca/,,GeoDiscover Alberta,geodiscoveralberta@gov.ab.ca,,LinkLink,Webview of Geospatial DataCSV of Geospatial Data,https://geodiscover.alberta.ca/geoportal/rest/find/document?searchText=publisher%3Aenergy%20OR%20publisher%3Ageological%20OR%20publisher%3Aagriculture%20OR%20publisher%3Atourism%20OR%20publisher%3Aculture&max=100&f=searchPagehttps://geodiscover.alberta.ca/geoportal/rest/find/document?searchText=publisher%3Aenergy%20OR%20publisher%3Ageological%20OR%20publisher%3Aagriculture%20OR%20publisher%3Atourism%20OR%20publisher%3Aculture&max=2000&f=csv,CSVCSV
"Average Weekly Earnings (including overtime), Canada and Provinces",This Alberta Official Statistic compares the average weekly earnings (including overtime) of all payroll employees by provinces and Canada from 2001 to 2013. Estimates of average weekly earnings and hours worked are based on a sample and are...,"Friday, August 29, 2014 - 13:32",,Treasury Board and Finance,"Income, official statistic",Dataset Management System: Published,,Treasury Board and Finance,,Provinces;Canada,English,EmploymentFinance,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=820,"Adapted from Statistics Canada, Survey of Employment, Payrolls and Hours; CANSIM Table 281-0027. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=820,CSV
"Median Earnings of Full Time Workers (25-64 Years) by Highest Level of Education and Sex, Alberta","This Alberta Official Statistic describes the median earnings of full-time Alberta workers (25-64 years) by highest level of education and sex for the year 2005.
","Wednesday, September 3, 2014 - 12:30",,"Jobs, Skills, Training and Labor","Earnings, official statistic",Dataset Management System: Published,,"Jobs, Skills, Training and Labor",,Alberta,English,Education and TrainingEmploymentFinance,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=889,"Adapted from Statistics Canada, 2006 Census of Population. This does not constitute an endorsement by Statistics Canada for this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=889,CSV
"Violent and Household Victimization Rates, Canada and Provinces","This Alberta Official Statistic describes the violent and household victimization rates for Canada and provinces for the year 2004 and 2009. The rate is based on incidence per 1,000 population in each province. 

 

The Canadian Centre for...","Wednesday, September 3, 2014 - 12:25",,Justice and Solicitor General,"Criminal victimization, violent victimization, household victimization, official statistic",Dataset Management System: Published,,Justice and Solicitor General,,Canada;Alberta;Provinces,English,LawSociety and Culture,Other,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=953,"Adapted from Statistics Canada, the General Social Survey, 2004 and 2009. This does not constitute an endorsement by Statistics Canada of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=953,CSV
"Census Family Status of Aboriginal Identity Population, Canada, Provinces and Territories","This Alberta Official Statistic shows the proportions of Aboriginal identity population based on their census family status - spouses, common-law partners, lone parents, children in census families, persons not in census families - for Canada,...","Wednesday, September 3, 2014 - 12:25",,Office of Statistics and Information,"Census Family Status, Official Statistic",Dataset Management System: Published,,Aboriginal RelationsOffice of Statistics and Information,,Canada;Provinces;Territories,English,Child and FamilyPopulationSociety and Culture,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=830,"Adapted from Statistics Canada, 2011 National Household Survey, Aboriginal Peoples data released May 8, 2013. This does not constitute an endorsement by Statistics Canada of this product.   Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=830,CSV
"Families of Children Receiving Services under the Family Support for Children with Disabilities Program, Alberta",The Family Support for Children with Disabilities (FSCD) program uses a family-centred approach to provide parents with funding to access a range of supports and services that strengthen their ability to promote their child’s healthy growth and...,"Wednesday, September 3, 2014 - 12:27",,Human Services,"Children, Disabilities, Official Statistic",Dataset Management System: Published,,Human Services,,Alberta,English,Child and FamilyHealth and SafetySociety and Culture,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=874,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=874,CSV
"Hectares Burned from Wildfire during Fire Season, Alberta",Alberta Environment and Sustainable Resource Development is mandated to control and contain wildfires within the Forest Protection Area of the province. The number of wildfires and the amount of hectares burned vary greatly due to factors such as...,"Wednesday, September 3, 2014 - 12:29",,Environment and Sustainable Resource Development,"Wildfire, Wildfires, Hectares Burned, Wildlife, Official Statistic",Dataset Management System: Published,,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural Resources,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=934,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=934,CSV
"Number of Hunters and Anglers, Alberta","Hunting and fishing are an important part of Alberta's social, cultural and economic heritage. Continued participation in these activities help sustain respect and appreciation for Alberta's natural habitats. Hunters and anglers provide...","Wednesday, September 3, 2014 - 12:21",,Environment and Sustainable Resource Development,"Hunters, Anglers, Official Statistic",Dataset Management System: Published,,Environment and Sustainable Resource Development,,Alberta,English,Environment and Natural ResourcesSociety and CultureTourism,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=937,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=937,CSV
"Proportion of Aboriginal Identity Population by Mother Tongue, Canada, Provinces and Territories ","This Alberta Official Statistic describes the proportions of Aboriginal Identity population by Mother Tongue (English, French, Aboriginal Languages and Other Languages) for Canada, Provinces and Territories based on the 2011 National Household...","Wednesday, September 3, 2014 - 12:23",,Office of Statistics and Information,"Aboriginal Languages, official statistic",Dataset Management System: Published,,Aboriginal RelationsOffice of Statistics and Information,,Canada;Provinces;Territories,English,LanguagesSociety and Culture,Every 5 years,Official Statsitics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=1148,"Adapted from Statistics Canada, 2011 National Household Survey, Language data released May 8, 2013. This does not constitute an endorsement by Statistics Canada of this product. 
 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1148,CSV
"Prevalence of Disability by Age Group and Sex, Alberta and Canada","This Alberta Official Statistic describes types of disabilities among Albertans and Canadians aged 15+ by age group and sex for 2012. The data are divided into five age group categories (15-24, 24-44, 45-64, 65-74 and 75+) and are split up into...","Wednesday, September 3, 2014 - 12:22",,Human Services,"Disability, PALS, CSD, official statistic",Dataset Management System: Published,Disability by Age and Sex,Human Services,,Alberta,English,Health and SafetyPopulationSociety and Culture,Other,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=873,"Adapted from Statistics Canada, Canadian Survey on Disability, 2012. This does not constitute an endorsement by Statistics Canada of this product.   Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=873,CSV
Traffic Volumes at Points on the Highway,"Alberta Transportation collects traffic volumes on provincial highways. The data is used to identify potential construction activities, maintenance needs and roadway design. ","Wednesday, September 17, 2014 - 11:31",,Transportation,"Annual, Daily, Traffic, AADT, MADT, intersections, ATR, Volumes, Highway, Average Annual Daily Traffic, Monthly Average Daily Traffic, Automated Traffic Recorder",Dataset Management System: Published,,Transportation,"Monday, January 1, 1962 - Tuesday, January 1, 2013",,English,Transport,Annually,Automated Traffic Recorder (ATR) Monthly Volume Report 2013Average Daily Traffic at ATR Sites 2013 MapAbbreviationsDefinitions Derivation of Traffic VolumeLegal Description of LocationsMunicipal Codes,http://www.transportation.alberta.ca/Content/docType181/production/ATR%20Monthly%20Volume%20Report%202013.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/2013%20Average%20Daily%20Traffic%20Map.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Abbreviations.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Definitions.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Derivation%20of%20Traffic%20Volume.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Legal%20Description%20of%20Locations.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Municipal%20Codes.pdf,"The reports and map present average daily two-way traffic volumes on Alberta's Highways.

The location of traffic count sites on Alberta's Highways are identified by its highway, control section, traffic control section and municipality. These identifiers aid in locating sites on a map and selecting specific data for requests.

Traffic volumes expressed as Average Annual Daily Traffic (AADT) or Average Summer Daily Traffic (ASDT) are estimated from data collected for Alberta Transportation by its contractors. In 2013, traffic data was collected from 376 permanent ATR sites on highways throughout the province, as well as turning movement counts at 552 intersections. Combined with historical turning movement counts at intersections, traffic volumes for 6,576 points are determined.

ATR Monthly Volume Report 2013 presents the Monthly Average Daily Traffic (MADT) volumes recorded at Alberta Transportation's 376 permanent ATR sites. The report also presents the 30th highest hourly traffic volume, 100th highest hourly traffic volume and 90th percentile hourly traffic volume.",,Trans.Contact.Us.m@gov.ab.ca,,Link,Traffic Volumes at Points on the Highway,http://www.transportation.alberta.ca/2639.htm,XLSX
Traffic Volumes on Links in the Highway Network,"This dataset contains information on traffic volumes, vehicle classification and travel on Alberta's Highways. These statistics are given as weighted averages over entire highways, control sections and traffic control sections.","Wednesday, September 17, 2014 - 11:31",,Transportation,"Traffic, Volumes, Vehicle, Classification, Highway, Travel, ESAL, Equivalent, Single, Axle, Load",Dataset Management System: Published,,Transportation,"Monday, April 1, 2013 - Monday, March 31, 2014",,English,Transport,Annually,DefinitionsWeighting Procedure for Traffic StatisticsLegal Description of LocationsMunicipal Codes,http://www.transportation.alberta.ca/Content/docType181/production/Definitions(link).pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Weighting%20Procedure.pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Legal%20Description%20of%20Locations(link).pdfhttp://www.transportation.alberta.ca/Content/docType181/production/Municipal%20Codes(link).pdf,,,Trans.Contact.Us.m@gov.ab.ca,,Link,Traffic Volumes on Links in the Highway Network,http://www.transportation.alberta.ca/2640.htm,XLSX
Alberta Education Schools and Authorities,Schools and school authorities in Alberta,"Thursday, September 11, 2014 - 14:56",,Education,"school boards, school districts, school jurisdictions",Dataset Management System: Published,,Education,,,English,Education and Training,Monthly,,,,Alberta Education Web Services,edc.webservices@gov.ab.ca,,LinkService,ExcelOData,http://www.education.alberta.ca/apps/eireports/excel_files/Authority_and_School.xlsxhttp://data.education.alberta.ca/datasets/sa.svc/,XLSOData
Alberta Education Schools and Authorities,Schools and school authorities in Alberta,"Thursday, December 4, 2014 - 15:52",Update,Education,"school boards, school districts, school jurisdictions",Dataset Management System: Saved (unsubmitted),,Education,,,English,Education and Training,Monthly,,,,Alberta Education Web Services,edc.webservices@gov.ab.ca,,LinkService,ExcelOData,http://www.education.alberta.ca/apps/eireports/excel_files/Authority_and_School.xlsxhttp://data.education.alberta.ca/datasets/sa.svc/,XLSOData
"Proportion of Immigrants, Alberta Economic Regions","This Alberta Official Statistic describes the proportion of immigrants that reside in each of the eight Alberta economic regions based on the 2011 National Household Survey. 

Canada is a multicultural society whose ethnocultural make-up has been...","Friday, September 19, 2014 - 08:12",,"Jobs, Skills, Training and Labor","Immigrant Population by Economic Region, official statistic",Dataset Management System: Published,,"Jobs, Skills, Training and Labor","Monday, January 1, 1900 - Tuesday, May 10, 2011",Alberta;Economic Regions (ER),English,PopulationSociety and Culture,Every 5 years,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=910,"Adapted from Statistics Canada, 2011 National Household Survey Immigration data released May 8, 2013 . This does not constitute an endorsement by Statistics Canada of this product. 
 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=910,CSV
"Average Vacancy Rates, Alberta and Major Alberta Urban Centres","The Alberta Official Statistic describes rental vacancy rates for private structures with 3 or more apartments in Alberta and its major urban centres (Calgary CMA, Edmonton CMA, Red Deer CA, Lethbridge CA, Medicine Hat CA, Wood Buffalo CA and Grande...","Tuesday, October 21, 2014 - 12:10",,Seniors,Rental Vacancy Rates,Dataset Management System: Published,,Seniors,,"Alberta, Census Metropolitan Area (CMA), Census Agglomerations (CA)",English,Construction and Housing,Semi-annual (every 6 months),Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=884,"Adapted from Canada Mortgage and Housing Corporation, Rental Market Survey. This does not constitute an endorsement by Canada Mortgage and Housing Corporation of this product.

 Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.",,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=884,CSV
Alberta Non-Profit Listing,"Alberta laws authorize the creation or incorporation of certain non-profit organizations and extra-provincial registration of organizations from other provinces and countries.  

In Alberta, incorporation can take place under the Agricultural...","Thursday, October 9, 2014 - 08:15",,Service Alberta,"non-profit, organization, company, society, corporation",Dataset Management System: Published,,Service Alberta,"Monday, September 1, 2014 - Wednesday, October 1, 2014",,English,Business and Economic DevelopmentSociety and Culture,Monthly,,,,,corp.reg@gov.ab.ca,,Download,Alberta Non-Profit Listing,//sites/default/files/datasets/Alberta%20Non-Profit%20Listing_1.xlsx,XLSX
"Average Two-Bedroom Rent, Alberta and Major Alberta Urban Centres","This Alberta Official Statistic shows the average monthly rental rates for two-bedroom units in Alberta and major urban centres (Calgary CMA, Edmonton CMA, Red Deer CA, Lethbridge CA, Medicine Hat CA, Wood Buffalo CA and Grande Prairie CA)....","Tuesday, October 21, 2014 - 12:08",,Seniors,Rent,Dataset Management System: Published,,Seniors,,"Alberta,Census Metropolitan Area (CMA),Census Agglomerations (CA)",English,Construction and Housing,Semi-annual (every 6 months),Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=880,,,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=880,CSV
Alberta Culture Calendar,The data in this dataset includes Arts and Cultural events submitted from community groups across Alberta. Data collected can be found in the submission form at: http://culture.alberta.ca/events/submit,"Tuesday, October 21, 2014 - 12:17",,Culture and Tourism,Culture Calendar; Alberta Culture Calendar; Dance; Literary Arts; Visual Arts; Craft; Voluntary Sector; Music; Archives; Festivals; Film and Video; Francophone;  Museums and Historic Sites; Theatre; Municipalities; Events listing,Dataset Management System: Published,Culture Calendar,Culture and Tourism,,Alberta,English,Arts and HistorySociety and CultureTourism,Daily,,,,"Special Projects, Culture",culture-calendar@gov.ab.ca,,ServiceLink,Alberta Culture CalendarAlberta Culture Calendar Website,http://culture.alberta.ca/events_odata/service.svchttp://culture.alberta.ca/events/,ODataCSV
"Community Volunteerism, Alberta","This Alberta Official Statistic describes the volunteer rates of adult Albertans for the period 2008-2009 to 2013-2014. The results are based on an annual province-wide telephone survey of 1,000 adult Albertans who were asked whether they did any...","Wednesday, October 22, 2014 - 10:20",,Culture and Tourism,"Volunteerism, official statistic",Dataset Management System: Published,,Culture and Tourism,,Alberta,English,Arts and HistorySociety and Culture,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=922,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/pages/officialstatistic.aspx?ipid=922,CSV
"Attendance and/or Participation in the Arts by Sex, Alberta","This Alberta Official Statistic describes participation and/or attendance in the arts for the period from 2003-04 to 2013-2014. Results are based on an annual survey of 1,000 adults who were asked if they had personally attended or participated in a...","Wednesday, October 22, 2014 - 10:21",,Culture and Tourism,"Participation in Arts, official statistic",Dataset Management System: Published,,Culture and Tourism,,Alberta,English,Arts and HistorySociety and Culture,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=929,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/pages/officialstatistic.aspx?ipid=929,CSV
"Participation in Recreation and Sport, Alberta","This Alberta Official Statistic describes the percentage of adult Albertans who participated in sport or recreation activities for the years 2003-2004 to 2013-2014. 

The Tourism, Parks and Recreation Survey of Albertans is a province-wide...","Thursday, October 23, 2014 - 07:36",,Culture and Tourism,"Recreation and Sport, official statistic",Dataset Management System: Published,,Culture and Tourism,,Alberta,English,Society and Culture,Annually,Official Statistics Metadata,https://osi.alberta.ca/osi-content/Pages/MetadataInHtml.aspx?ipid=885,Please see the associated Alberta Official Statistics product page for a complete list of usage considerations. This can be accessed by clicking on the distribution link at the top of the page.,osi.support@gov.ab.ca,osi.support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/pages/officialstatistic.aspx?ipid=885,CSV
